Benchmark,SILC-FM,Baryon (Low Assoc),Hybrid2,Baryon (High Assoc)
500.perlbench_r,,,,
502.gcc_r,0.07,0.31,0.37,0.44
503.bwaves_r,,,,
505.mcf_r,0.33,0.13,0.14,0.24
507.cactuBSSN_r,,,,
508.namd_r,,,,
510.parest_r,,,,
511.povray_r,,,,
519.lbm_r,0.03,0.41,0.76,0.94
520.omnetpp_r,,,,
521.wrf_r,,,,
523.xalancbmk_r,0.93,0.26,0.57,0.74
525.x264_r,,,,
526.blender_r,,,,
527.cam4_r,,,,
531.deepsjeng_r,,,,
538.imagick_r,,,,
541.leela_r,,,,
544.nab_r,,,,
548.exchange2_r,,,,
549.fotonik3d_r,0.02,0.28,0.57,0.7
554.roms_r,,,,
557.xz_r,0.31,0.15,0.74,0.92
mix1,,,,
mix2,,,,
mix3,,,,
mix4,,,,
PageRank.ljournal,,,,
Bellmanford.ljournal,,,,
Freqmine,,,,
Dedup,,,,
Fluidaminate,,,,
Blackscholes,,,,
Raytrace,,,,
Canneal,,,,
Group L Geomean,,,,
Group H Geomean,,,,