Benchmark,Baryon,No Zero Block Opt,Not Cacheline-aligned,No Decomp Cost,Arbitrary CF Mixing
549.fotonik3d_r,"2.42 ","2.27 ","2.68 ","2.42 ","2.46 "
502.gcc_r,"2.24 ","1.52 ","3.03 ",2.24,"3.04 "
resnet50,"2.1700 ","2.1600 ","2.68 ",2.17,"2.7400 "
505.mcf_r,"1.98 ","1.98 ","2.04 ","1.98 ","2.02 "
554.roms_r,1.65,1.57,1.82,1.65,1.72
520.omnetpp_r,1.35,1.34,1.47,1.35,1.43
521.wrf_r,1.28,1.26,1.53,1.28,1.32
pr.twi,"1.04 ","1.00 ","1.04 ","1.04 ","1.05 "
ycsb.a,"2.00 ",1.85,"2.15 ","2.00 ","2.48 "
geomean,1.81,"1.58 ","2.14 ",1.81,"1.93 "