Benchmark,Baryon,No Zero Block Opt,Not Cacheline-aligned,No Decomp Cost,Arbitrary CF Mixing,Ideal
500.perlbench_r,,,,,,
502.gcc_r,"1.0000 ","0.9331 ","0.6143 ","1.0045 ","1.0569 ","1.0878 "
503.bwaves_r,,,,,,
505.mcf_r,"1.0000 ","1.0000 ","0.3885 ","1.0000 ","1.0242 ","2.0699 "
507.cactuBSSN_r,,,,,,
519.lbm_r,,,,,,
520.omnetpp_r,"1.0000 ","0.9826 ","0.7458 ","1.0025 ","1.0476 ","2.1176 "
521.wrf_r,"1.0000 ","0.9759 ","0.6328 ","1.0112 ","1.0657 ","1.2273 "
549.fotonik3d_r,"1.0000 ","0.8192 ","0.5273 ","1.0045 ","0.9823 ","1.0091 "
554.roms_r,"1.0000 ","0.7784 ","0.4824 ","0.9928 ","1.0458 ","0.9581 "
557.xz_r,,,,,,
pr.twi,"1.0000 ","0.9497 ","0.4573 ","1.0010 ","1.0103 ","1.1225 "
resnet50,"1.0000 ","0.9896 ","0.8112 ","1.0019 ","1.0001 ","1.2200 "
ycsb.a,"1.0000 ","0.9141 ","0.6713 ","1.0080 ","1.0207 ","1.2200 "
geomean,"1.0000 ","0.9354 ","0.5892 ","1.0130 ","1.0226 ","1.2421 "